planeId;airport;flightType;passengers;delayMinutes;flightDuration;date
QS-319;Prague;Departure;104;0;64;06.10.2025
OK-565;Munich;Arrival;80;111;49;15.11.2025
BA-564;Vienna;Departure;54;0;189;10.04.2026
KL-970;Vienna;Departure;133;9;221;04.11.2025
AF-413;Prague;Departure;48;0;104;14.10.2025
OK-498;Munich;Departure;233;0;207;26.04.2026
QS-552;Warsaw;Arrival;126;17;155;30.05.2026
OS-271;Warsaw;Departure;56;14;108;11.09.2025
LO-813;Amsterdam;Arrival;132;25;84;11.10.2025
KL-145;Warsaw;Arrival;58;0;123;11.03.2026
QS-505;Prague;Arrival;57;0;159;12.05.2026
AF-373;Amsterdam;Arrival;41;0;186;03.06.2026
KL-580;Vienna;Departure;133;0;150;22.01.2026
KL-669;Amsterdam;Arrival;181;0;220;05.02.2026
LO-813;Amsterdam;Departure;103;0;61;12.03.2026
KL-940;Prague;Departure;158;16;109;02.12.2025
AF-565;Vienna;Departure;187;19;72;02.01.2026
QS-583;Frankfurt;Departure;120;17;129;21.04.2026
OK-724;Frankfurt;Arrival;111;0;222;22.03.2026
LH-878;Amsterdam;Departure;116;0;222;13.11.2025
OK-687;Warsaw;Arrival;118;0;145;25.05.2026
AF-702;Prague;Arrival;209;5;231;23.02.2026
LH-998;Frankfurt;Departure;212;0;149;18.09.2025
LH-581;Prague;Departure;96;0;84;11.12.2025
OS-696;Amsterdam;Arrival;149;153;194;10.05.2026
BA-394;Frankfurt;Departure;174;0;137;13.12.2025
LH-567;Munich;Arrival;62;26;215;15.06.2026
QS-230;Amsterdam;Arrival;179;133;237;21.04.2026
KL-242;Amsterdam;Arrival;60;0;175;11.11.2025
OS-655;Munich;Arrival;149;0;163;15.11.2025
QS-824;Warsaw;Arrival;123;154;71;22.01.2026
AF-241;Prague;Arrival;124;0;161;06.11.2025
OK-411;Amsterdam;Departure;156;0;229;11.10.2025
KL-564;Vienna;Departure;46;8;50;22.11.2025
AF-862;Amsterdam;Arrival;224;0;89;26.03.2026
AF-381;Amsterdam;Departure;153;0;148;24.09.2025
AF-765;Warsaw;Departure;136;0;202;28.10.2025
OK-460;Frankfurt;Departure;134;0;99;17.01.2026
AF-165;Frankfurt;Arrival;239;78;138;28.04.2026
LO-470;Amsterdam;Departure;206;166;208;10.04.2026
BA-960;Prague;Departure;185;0;135;19.11.2025
LH-187;Warsaw;Departure;192;26;79;03.03.2026
OS-344;Frankfurt;Arrival;81;0;81;18.04.2026
LO-973;Prague;Arrival;182;0;92;18.05.2026
BA-851;Prague;Arrival;177;0;118;22.03.2026
LH-657;Prague;Departure;193;0;136;02.11.2025
LH-798;Prague;Arrival;133;160;212;25.06.2026
QS-552;Warsaw;Departure;216;20;87;08.01.2026
QS-175;Warsaw;Arrival;109;0;102;13.02.2026
QS-205;Vienna;Departure;179;29;171;29.01.2026
LO-810;Frankfurt;Arrival;103;16;183;06.09.2025
LH-860;Warsaw;Departure;174;0;153;17.06.2026
OS-460;Amsterdam;Arrival;111;39;160;23.01.2026
LH-998;Frankfurt;Arrival;233;11;233;31.03.2026
LO-378;Frankfurt;Departure;77;30;97;13.12.2025
LH-146;Amsterdam;Departure;171;0;182;16.03.2026
LH-791;Amsterdam;Departure;166;55;79;10.12.2025
LH-491;Vienna;Arrival;105;63;224;02.10.2025
OK-839;Vienna;Departure;98;26;145;28.05.2026
LO-358;Vienna;Departure;195;0;160;24.01.2026
OS-901;Vienna;Departure;212;125;161;12.10.2025
OS-655;Munich;Arrival;233;7;232;21.11.2025
BA-418;Frankfurt;Departure;51;17;100;15.12.2025
QS-319;Prague;Departure;103;0;117;28.05.2026
QS-641;Frankfurt;Departure;236;0;219;06.09.2025
AF-680;Prague;Departure;39;0;85;01.01.2026
LH-382;Frankfurt;Departure;86;64;211;12.03.2026
OK-924;Amsterdam;Departure;99;0;215;22.09.2025
LH-665;Prague;Departure;195;0;224;25.10.2025
LH-677;Munich;Arrival;215;0;99;03.02.2026
OK-460;Frankfurt;Arrival;167;5;47;14.12.2025
OK-981;Prague;Departure;212;0;63;23.01.2026
AF-837;Munich;Arrival;61;0;121;04.02.2026
LH-899;Munich;Arrival;52;0;47;22.09.2025
KL-282;Amsterdam;Departure;219;0;236;16.04.2026
OK-185;Frankfurt;Departure;90;0;70;01.02.2026
OK-977;Frankfurt;Departure;124;111;80;15.06.2026
KL-755;Munich;Arrival;176;28;200;26.06.2026
OK-877;Amsterdam;Departure;87;0;175;11.04.2026
AF-692;Vienna;Arrival;235;92;171;03.03.2026
LH-390;Frankfurt;Arrival;170;34;137;17.09.2025
AF-798;Vienna;Departure;128;0;89;08.12.2025
AF-786;Amsterdam;Arrival;185;0;112;16.01.2026
QS-583;Frankfurt;Departure;164;0;227;17.04.2026
AF-328;Amsterdam;Departure;56;22;202;22.01.2026
BA-787;Prague;Arrival;165;70;182;31.05.2026
LH-581;Prague;Arrival;114;28;106;23.01.2026
QS-815;Frankfurt;Departure;64;0;200;20.06.2026
KL-326;Munich;Arrival;65;0;80;21.09.2025
BA-774;Amsterdam;Departure;168;0;229;06.04.2026
LO-710;Prague;Departure;222;38;130;05.10.2025
OK-868;Warsaw;Arrival;102;23;205;27.04.2026
AF-586;Warsaw;Departure;49;0;190;10.02.2026
LO-597;Vienna;Arrival;181;8;103;01.09.2025
KL-926;Warsaw;Arrival;97;0;138;08.02.2026
BA-231;Frankfurt;Arrival;176;27;234;29.09.2025
AF-618;Prague;Arrival;141;112;114;13.11.2025
LH-807;Prague;Arrival;163;6;90;13.05.2026
OK-847;Prague;Departure;52;103;124;22.05.2026
AF-472;Prague;Arrival;129;0;189;04.12.2025
OK-366;Frankfurt;Arrival;153;0;171;09.12.2025
LH-446;Vienna;Arrival;73;0;149;19.05.2026
KL-719;Munich;Arrival;120;0;213;20.03.2026
QS-246;Frankfurt;Arrival;170;138;170;19.09.2025
LO-444;Prague;Departure;58;0;104;06.11.2025
OK-979;Munich;Departure;152;52;193;04.02.2026
OK-458;Amsterdam;Departure;54;6;156;17.09.2025
LH-354;Warsaw;Departure;101;131;224;12.10.2025
QS-736;Vienna;Departure;104;0;96;30.05.2026
AF-862;Amsterdam;Arrival;62;0;164;31.01.2026
LH-567;Munich;Departure;232;0;123;31.01.2026
OK-334;Amsterdam;Arrival;210;0;225;06.09.2025
QS-348;Vienna;Departure;72;0;108;21.10.2025
LH-566;Vienna;Arrival;208;0;89;14.04.2026
KL-549;Munich;Departure;177;12;69;05.02.2026
LH-256;Amsterdam;Arrival;50;12;78;13.04.2026
LH-807;Prague;Arrival;184;7;50;26.09.2025
KL-431;Amsterdam;Departure;67;0;129;29.04.2026
LH-487;Warsaw;Arrival;181;0;230;08.01.2026
BA-142;Amsterdam;Departure;79;0;92;25.04.2026
LO-750;Warsaw;Arrival;43;24;107;03.11.2025
LH-491;Vienna;Departure;50;0;143;21.02.2026
OK-872;Prague;Arrival;196;170;49;10.12.2025
OK-606;Frankfurt;Departure;157;0;169;25.05.2026
AF-788;Amsterdam;Departure;134;0;51;26.02.2026
LO-448;Warsaw;Departure;49;20;180;30.05.2026
LO-845;Frankfurt;Arrival;60;0;106;15.01.2026
QS-383;Frankfurt;Arrival;182;30;144;14.02.2026
LH-878;Amsterdam;Arrival;186;0;233;26.12.2025
LO-588;Vienna;Arrival;215;23;189;18.02.2026
KL-819;Amsterdam;Departure;173;0;170;15.01.2026
LO-845;Frankfurt;Arrival;40;0;45;07.06.2026
AF-107;Warsaw;Arrival;122;30;127;07.02.2026
LO-498;Frankfurt;Arrival;233;0;179;10.09.2025
BA-658;Frankfurt;Departure;185;0;122;10.02.2026
AF-837;Munich;Departure;237;20;211;24.05.2026
BA-851;Prague;Departure;92;10;141;26.06.2026
LH-683;Munich;Arrival;80;27;191;26.05.2026
KL-259;Prague;Arrival;189;0;201;25.05.2026
QS-246;Frankfurt;Departure;71;0;64;23.03.2026
OS-999;Frankfurt;Arrival;216;28;130;09.03.2026
AF-385;Frankfurt;Arrival;212;0;110;02.12.2025
LH-125;Frankfurt;Arrival;133;0;152;23.12.2025
OK-979;Munich;Departure;131;0;141;03.05.2026
OS-288;Vienna;Arrival;76;0;53;23.03.2026
BA-488;Warsaw;Arrival;53;0;141;20.01.2026
QS-262;Frankfurt;Arrival;121;24;168;26.10.2025
BA-610;Prague;Arrival;190;71;58;22.02.2026
OS-990;Prague;Arrival;139;28;231;19.06.2026
QS-614;Frankfurt;Departure;95;0;145;06.05.2026
KL-961;Frankfurt;Arrival;127;0;67;19.06.2026
AF-565;Vienna;Departure;86;0;97;16.03.2026
AF-267;Vienna;Departure;64;0;146;19.06.2026
KL-902;Prague;Arrival;199;0;92;08.04.2026
LO-674;Warsaw;Arrival;149;0;157;27.02.2026
KL-819;Amsterdam;Departure;179;0;237;13.09.2025
KL-755;Munich;Departure;173;0;238;22.05.2026
AF-891;Frankfurt;Departure;168;0;182;29.12.2025
LO-780;Frankfurt;Arrival;156;0;146;01.12.2025
AF-881;Frankfurt;Arrival;65;145;89;22.09.2025
LO-566;Prague;Arrival;84;0;153;24.06.2026
LO-795;Vienna;Arrival;195;0;197;18.01.2026
AF-801;Warsaw;Departure;177;0;128;06.11.2025
LO-171;Frankfurt;Arrival;236;23;178;15.09.2025
QS-327;Warsaw;Arrival;72;23;239;13.09.2025
QS-815;Frankfurt;Arrival;179;30;118;22.12.2025
BA-378;Frankfurt;Departure;102;0;169;02.05.2026
LH-489;Munich;Arrival;105;0;203;28.11.2025
OK-283;Warsaw;Arrival;136;115;221;02.05.2026
KL-662;Prague;Departure;130;0;122;06.05.2026
KL-816;Frankfurt;Arrival;93;0;235;24.03.2026
LO-813;Amsterdam;Departure;189;11;158;15.04.2026
KL-326;Munich;Departure;229;0;140;05.11.2025
QS-216;Frankfurt;Arrival;51;0;174;15.05.2026
QS-384;Munich;Arrival;79;0;96;02.10.2025
KL-259;Prague;Departure;47;81;115;29.04.2026
KL-330;Prague;Departure;197;38;106;02.06.2026
LO-453;Warsaw;Arrival;156;16;133;08.03.2026
OS-535;Prague;Arrival;107;0;57;27.05.2026
QS-205;Vienna;Arrival;91;26;97;15.04.2026
LH-566;Vienna;Arrival;234;33;166;22.11.2025
LH-187;Warsaw;Arrival;92;0;123;30.11.2025
OK-872;Prague;Departure;143;120;162;30.04.2026
OS-367;Amsterdam;Departure;184;0;175;17.12.2025
QS-172;Warsaw;Departure;178;24;117;28.01.2026
KL-515;Vienna;Arrival;121;114;115;16.06.2026
OK-734;Amsterdam;Arrival;73;0;106;13.12.2025
LH-579;Munich;Departure;204;0;80;23.11.2025
BA-774;Amsterdam;Departure;101;134;144;14.11.2025
QS-349;Munich;Arrival;122;12;220;02.05.2026
OK-773;Prague;Departure;164;0;88;22.12.2025
QS-741;Frankfurt;Arrival;110;0;77;02.12.2025
AF-894;Prague;Arrival;209;53;101;20.03.2026
KL-940;Prague;Departure;130;0;120;31.01.2026
LO-434;Prague;Arrival;197;24;63;19.02.2026
OS-195;Warsaw;Arrival;209;0;121;08.02.2026
KL-887;Prague;Arrival;122;0;190;29.10.2025
BA-564;Vienna;Departure;218;0;65;11.06.2026
LH-878;Amsterdam;Departure;197;0;160;13.02.2026
AF-165;Frankfurt;Arrival;160;29;67;22.04.2026
LH-581;Prague;Departure;138;0;167;10.01.2026
AF-968;Vienna;Arrival;222;0;48;06.12.2025
OK-337;Warsaw;Arrival;39;25;232;27.06.2026
BA-581;Vienna;Departure;114;0;143;20.03.2026
OS-999;Frankfurt;Arrival;46;0;119;14.05.2026
LO-973;Prague;Departure;146;65;132;02.11.2025
LO-949;Vienna;Arrival;77;134;49;03.02.2026
QS-319;Prague;Arrival;185;0;76;16.06.2026
QS-216;Frankfurt;Arrival;131;96;181;16.11.2025
QS-649;Munich;Arrival;202;6;221;24.04.2026
BA-540;Amsterdam;Arrival;175;0;224;27.06.2026
LO-942;Warsaw;Arrival;112;0;70;05.10.2025
OK-366;Frankfurt;Arrival;142;8;175;16.09.2025
QS-614;Frankfurt;Arrival;235;0;95;09.12.2025
OK-499;Vienna;Arrival;126;14;86;08.05.2026
OK-292;Vienna;Arrival;211;115;105;21.06.2026
OS-963;Vienna;Arrival;181;9;68;10.09.2025
KL-710;Munich;Arrival;100;19;120;13.01.2026
OS-317;Munich;Arrival;45;123;218;30.01.2026
OS-510;Warsaw;Arrival;37;74;129;23.04.2026
BA-984;Vienna;Departure;222;0;132;13.04.2026
BA-522;Prague;Departure;104;27;167;23.11.2025
QS-456;Munich;Arrival;63;0;230;10.02.2026
QS-246;Frankfurt;Departure;186;0;190;24.09.2025
BA-960;Prague;Departure;234;0;52;22.12.2025
QS-172;Warsaw;Arrival;158;59;150;17.01.2026
BA-488;Warsaw;Departure;38;26;179;13.11.2025
KL-710;Munich;Arrival;206;163;178;19.11.2025
OS-510;Warsaw;Departure;204;20;133;22.11.2025
OK-466;Munich;Arrival;177;44;47;21.09.2025
KL-330;Prague;Departure;161;50;237;03.03.2026
QS-953;Prague;Departure;47;0;185;22.10.2025
LH-881;Munich;Arrival;55;0;191;08.05.2026
LO-453;Warsaw;Departure;65;35;71;10.01.2026
QS-741;Frankfurt;Arrival;58;24;208;11.05.2026
QS-179;Amsterdam;Arrival;202;15;138;14.12.2025
LO-462;Warsaw;Departure;119;24;198;18.06.2026
BA-752;Amsterdam;Departure;64;0;213;29.03.2026
QS-357;Vienna;Departure;175;0;224;12.02.2026
AF-623;Munich;Arrival;218;18;72;20.02.2026
KL-508;Warsaw;Arrival;135;0;93;14.09.2025
AF-223;Amsterdam;Departure;46;62;160;31.05.2026
BA-984;Vienna;Arrival;162;0;233;21.04.2026
QS-172;Warsaw;Departure;165;10;222;02.02.2026
QS-246;Frankfurt;Departure;203;15;174;24.10.2025
LO-841;Frankfurt;Arrival;105;0;132;28.10.2025
LO-720;Warsaw;Arrival;70;0;224;05.11.2025
LH-529;Amsterdam;Departure;217;22;206;23.02.2026
LO-435;Munich;Departure;210;0;217;16.06.2026
AF-814;Frankfurt;Arrival;163;0;208;30.01.2026
LH-860;Warsaw;Departure;178;0;191;30.11.2025
AF-936;Amsterdam;Departure;143;21;72;07.02.2026
KL-949;Amsterdam;Arrival;86;0;86;27.11.2025
LH-151;Vienna;Arrival;50;14;97;05.09.2025
LO-949;Vienna;Departure;61;26;234;27.02.2026
LO-808;Warsaw;Departure;95;0;223;20.06.2026
QS-649;Munich;Departure;134;0;220;22.05.2026
KL-949;Amsterdam;Arrival;225;0;203;20.12.2025
LH-334;Vienna;Departure;92;125;238;04.06.2026
LH-446;Vienna;Arrival;110;0;219;14.02.2026
AF-807;Vienna;Arrival;131;0;116;03.02.2026
OK-713;Amsterdam;Departure;36;0;226;06.09.2025
KL-961;Frankfurt;Departure;187;0;205;24.11.2025
OS-367;Amsterdam;Departure;237;16;63;11.10.2025
LH-897;Frankfurt;Arrival;82;0;174;20.05.2026
LH-567;Munich;Departure;58;0;99;13.10.2025
KL-145;Warsaw;Departure;90;166;166;15.12.2025
QS-377;Amsterdam;Arrival;64;19;106;18.11.2025
OK-308;Vienna;Arrival;45;15;142;30.12.2025
LO-470;Amsterdam;Departure;100;0;117;13.05.2026
AF-370;Munich;Departure;166;19;169;16.06.2026
QS-223;Vienna;Departure;166;0;69;18.05.2026
AF-968;Vienna;Arrival;195;0;216;28.09.2025
LH-712;Warsaw;Departure;61;0;224;04.12.2025
OK-155;Warsaw;Departure;200;7;236;04.09.2025
OS-738;Prague;Departure;44;0;58;06.03.2026
QS-741;Frankfurt;Arrival;182;13;149;11.06.2026
LO-921;Amsterdam;Departure;115;0;217;02.01.2026
LH-899;Munich;Arrival;228;6;224;16.10.2025
OK-745;Amsterdam;Arrival;109;14;200;23.04.2026
BA-142;Amsterdam;Departure;204;0;85;04.02.2026
OS-584;Amsterdam;Departure;238;22;120;19.09.2025
OK-734;Amsterdam;Departure;37;22;81;02.01.2026
LO-810;Frankfurt;Departure;172;0;66;30.03.2026
QS-319;Prague;Departure;200;67;86;07.06.2026
KL-823;Vienna;Departure;84;0;216;19.12.2025
KL-949;Amsterdam;Departure;200;0;119;03.10.2025
AF-680;Prague;Arrival;220;15;136;17.06.2026
OS-919;Warsaw;Arrival;107;11;126;26.03.2026
OK-185;Frankfurt;Departure;212;23;190;22.03.2026
LH-382;Frankfurt;Departure;78;0;108;01.12.2025
QS-558;Munich;Departure;105;9;218;22.12.2025
BA-730;Warsaw;Departure;149;0;123;28.01.2026
QS-935;Munich;Arrival;106;66;182;10.06.2026
LH-723;Amsterdam;Arrival;39;25;52;14.11.2025
LO-921;Amsterdam;Arrival;44;22;183;08.02.2026
KL-265;Vienna;Departure;92;105;79;11.05.2026
OK-334;Amsterdam;Departure;128;0;214;07.06.2026
OS-112;Prague;Arrival;228;0;159;25.05.2026
QS-583;Frankfurt;Arrival;223;16;55;05.05.2026
LH-162;Vienna;Arrival;102;0;55;06.11.2025
OK-773;Prague;Departure;134;0;161;06.09.2025
OK-736;Warsaw;Departure;61;21;207;16.12.2025
KL-326;Munich;Departure;183;0;89;07.04.2026
KL-265;Vienna;Arrival;167;0;102;01.04.2026
LH-881;Munich;Departure;159;24;46;05.02.2026
KL-282;Amsterdam;Arrival;93;0;209;08.02.2026
AF-830;Frankfurt;Arrival;127;8;214;26.03.2026
OS-916;Amsterdam;Arrival;158;20;98;15.06.2026
OK-337;Warsaw;Departure;40;0;77;11.02.2026
OK-796;Vienna;Arrival;181;0;87;16.02.2026
AF-835;Amsterdam;Departure;188;35;229;15.12.2025
BA-158;Munich;Arrival;90;0;165;22.09.2025
LO-294;Vienna;Departure;188;0;194;24.09.2025
LO-435;Munich;Departure;77;15;161;18.01.2026
OK-789;Warsaw;Departure;133;0;49;10.05.2026
OS-112;Prague;Departure;73;10;166;16.11.2025
LH-489;Munich;Arrival;58;0;78;09.11.2025
OK-518;Vienna;Arrival;233;18;178;12.01.2026
QS-576;Amsterdam;Departure;93;154;142;28.06.2026
BA-823;Munich;Arrival;143;0;167;26.12.2025
